kanji,ka_name,ka_examples,onyomi,kunyomi,nanori,english,jlpt,strokes,usage_freq_2500,grade,radicals
捨,sha-su(teru),"[ [ ""四捨五入（ししゃごにゅう）"", ""rounding up (fractions)"" ], [ ""取捨選択（しゅしゃせんたく）"", ""decision to adopt or reject"" ], [ ""捨てる（すてる）"", ""throw away"" ], [ ""見捨てる（みすてる）"", ""abandon"" ] ]",シャ,す.てる,,"discard, throw away, abandon, resign, reject, sacrifice",2.0,11.0,1266.0,6.0,"口, 土, 个, 扎"
状,(byou)jou,"[ [ ""状態（じょうたい）"", ""condition, state"" ], [ ""状況（じょうきょう）"", ""situation, circumstances"" ], [ ""形状（けいじょう）"", ""shape [n.]"" ], [ ""液状（えきじょう）"", ""liquid state"" ], [ ""現状（げんじょう）"", ""status quo, present state"" ], [ ""症状（しょうじょう）"", ""symptoms"" ], [ ""病状（びょうじょう）"", ""condition of disease or patient"" ], [ ""賞状（しょうじょう）"", ""certificate of merit"" ], [ ""礼状（れいじょう）"", ""letter of thanks"" ], [ ""招待状（しょうたいじょう）"", ""written invitation"" ], [ ""年賀状（ねんがじょう）"", ""New Year's card"" ], [ ""白状する（はくじょうする）"", ""confess"" ] ]",ジョウ,,,"status quo, conditions, circumstances, form, appearance",2.0,7.0,298.0,5.0,"犬, 爿"
年,nen-toshi,"[ [ ""一年生（いちねんせい）"", ""first-year student"" ], [ ""去年（きょねん）"", ""last year"" ], [ ""来年（らいねん）"", ""next year"" ], [ ""中年（ちゅうねん）"", ""middle age"" ], [ ""万年筆（まんねんひつ）"", ""fountain pen"" ], [ ""お年寄り（おとしより）"", ""elderly person"" ], [ ""今年（ことし）"", ""this year"" ], [ ""年上（としうえ）"", ""older"" ], [ ""半年（はんとし）"", ""half a year"" ] ]",ネン,とし,ね,"year, counter for years",4.0,6.0,6.0,1.0,"ノ, 一, 干, 乞"
作,saku-tsuku(ru),"[ [ ""作成する（さくせいする）"", ""produce"" ], [ ""試作する（しさくする）"", ""make a prototype"" ], [ ""作戦（さくせん）"", ""strategy"" ], [ ""作曲家（さっきょくか）"", ""composer"" ], [ ""作曲する（さっきょくする）"", ""compose"" ], [ ""操作する（そうさする）"", ""operate"" ], [ ""作業する（さぎょうする）"", ""work [v.i.]"" ], [ ""動作（どうさ）"", ""movements"" ], [ ""作る（つくる）"", ""make"" ], [ ""形作る（かたちづくる）"", ""form [v.t.]"" ] ]","サク, サ","つく.る, つく.り, -づく.り","くり, さか, さっ, づくり, とも, なお, はぎ, まさか","make, production, prepare, build",3.0,7.0,103.0,2.0,"｜, ノ, 化, 一, 乞"
態,tai(do),"[ [ ""態度（たいど）"", ""attitude, behavior, manner"" ], [ ""態勢（たいせい）"", ""conditions, preparations"" ], [ ""状態（じょうたい）"", ""condition, state"" ], [ ""実態（じったい）"", ""true condition"" ], [ ""重態（じゅうたい）"", ""serious condition"" ], [ ""事態（じたい）"", ""state of affairs"" ], [ ""生態系（せいたいけい）"", ""ecosystem"" ] ]",タイ,わざ.と,,"attitude, condition, figure, appearance, voice (of verbs)",1.0,14.0,353.0,5.0,"月, 心, 匕, 厶"
勇,isa(mashii),"[ [ ""勇気（ゆうき）"", ""courage"" ], [ ""勇士（ゆうし）"", ""brave warrior"" ], [ ""武勇伝（ぶゆうでん）"", ""tale of heroic exploits"" ], [ ""勇敢な（ゆうかんな）"", ""brave"" ], [ ""勇退する（ゆうたいする）"", ""retire voluntarily"" ], [ ""勇ましい（いさましい）"", ""brave"" ] ]",ユウ,いさ.む,"お, はや","courage, cheer up, be in high spirits, bravery, heroism",2.0,9.0,1319.0,4.0,"田, 力, マ"
敢,kan-a(ete),"[ [ ""勇敢な（ゆうかんな）"", ""brave"" ], [ ""果敢な（かかんな）"", ""bold, resolute"" ], [ ""敢然と（かんぜんと）"", ""boldly"" ], [ ""*敢えて（あえて）"", ""dare to, run a risk of [adv.]"" ], [ ""*取り敢えず（とりあえず）"", ""for the time being"" ] ]",カン,"あ.えて, あ.えない, あ.えず",,"daring, brave, bold, sad, tragic, pitiful",1.0,12.0,1859.0,8.0,"耳, 攵, 乞"
派,ha(batsu),"[ [ ""派閥（はばつ）"", ""political faction"" ], [ ""派出所（はしゅつしょ）"", ""local police station"" ], [ ""特派員（とくはいん）"", ""correspondent"" ], [ ""流派（りゅうは）"", ""school (e.g. of ikebana)"" ], [ ""左派（さは）"", ""left wing"" ], [ ""右派（うは）"", ""right wing"" ], [ ""宗派（しゅうは）"", ""(religious) denomination"" ], [ ""党派（とうは）"", ""faction"" ], [ ""立派な（りっぱな）"", ""splendid"" ], [ ""派手な（はでな）"", ""flashy, gaudy"" ], [ ""派遣する（はけんする）"", ""dispatch"" ] ]",ハ,,,"faction, group, party, clique, sect, school",1.0,9.0,164.0,6.0,"斤, 汁, 厂"
再,futata(bi),"[ [ ""再度（さいど）"", ""again"" ], [ ""再開する（さいかいする）"", ""reopen"" ], [ ""再現する（さいげんする）"", ""reappear, reproduce"" ], [ ""再生する（さいせいする）"", ""playback, regenerate"" ], [ ""再婚する（さいこんする）"", ""remarry"" ], [ ""再会する（さいかいする）"", ""meet again"" ], [ ""再来月（さらいげつ）"", ""month after next"" ], [ ""再来週（さらいしゅう）"", ""week after next"" ], [ ""再来年（さらいねん）"", ""year after next"" ], [ ""再び（ふたたび）"", ""again"" ] ]","サイ, サ",ふたた.び,ふた,"again, twice, second time",2.0,6.0,275.0,5.0,"｜, 一, 冂, 王"
与,yo-ata(eru),"[ [ ""与党（よとう）"", ""government party"" ], [ ""給与（きゅうよ）"", ""salary"" ], [ ""賞与（しょうよ）"", ""bonus pay"" ], [ ""関与する（かんよする）"", ""participate in, take part in"" ], [ ""寄与する（きよする）"", ""contribute"" ], [ ""贈与する（ぞうよする）"", ""donate"" ], [ ""授与する（じゅよする）"", ""award [v.t.]"" ], [ ""与える（あたえる）"", ""give"" ] ]",ヨ,"あた.える, あずか.る, くみ.する, ともに","とも, ゆ","bestow, participate in, give, award, impart, provide, cause, gift, godsend",2.0,3.0,308.0,8.0,"勹, 一, 卜"
案,(gen)an,"[ [ ""案（あん）"", ""plan, draft [n.]"" ], [ ""案外（あんがい）"", ""unexpectedly"" ], [ ""案の定（あんのじょう）"", ""sure enough"" ], [ ""名案（めいあん）"", ""good idea"" ], [ ""法案（ほうあん）"", ""bill (law)"" ], [ ""議案（ぎあん）"", ""legislative bill"" ], [ ""答案用紙（とうあんようし）"", ""exam answer sheet"" ], [ ""案内する（あんないする）"", ""guide [v.t.]"" ], [ ""立案する（りつあんする）"", ""draft [v.t.]"" ], [ ""考案する（こうあんする）"", ""plan, devise, contrive"" ], [ ""提案する（ていあんする）"", ""propose"" ], [ ""案じる/ずる（あんじる/ずる）"", ""be anxious, devise a plan"" ] ]",アン,つくえ,,"plan, suggestion, draft, ponder, fear, proposition, idea, expectation, worry, table, bench",2.0,10.0,206.0,4.0,"女, 木, 宀"
美,utsuku(shii),"[ [ ""美（び）"", ""beauty"" ], [ ""美学（びがく）"", ""aesthetics"" ], [ ""美人（びじん）"", ""beautiful woman"" ], [ ""美女（びじょ）"", ""beautiful woman"" ], [ ""美術館（びじゅつかん）"", ""art museum"" ], [ ""美容院（びよういん）"", ""beauty salon"" ], [ ""美化する（びかする）"", ""beautify, glorify"" ], [ ""賛美する（さんびする）"", ""praise"" ], [ ""優美な（ゆうびな）"", ""graceful"" ], [ ""甘美な（かんびな）"", ""sweet"" ], [ ""美しい（うつくしい）"", ""beautiful"" ], [ ""*美味しい（おいしい）"", ""delicious"" ] ]","ビ, ミ",うつく.しい,"はる, よし, よしみ, り","beauty, beautiful",2.0,9.0,462.0,3.0,"王, 大, 并, 羊"
絵,kai(ga),"[ [ ""絵画（かいが）"", ""painting"" ], [ ""絵（え）"", ""drawing, painting"" ], [ ""絵はがき（えはがき）"", ""picture postcard"" ], [ ""絵描き（えかき）"", ""painter"" ], [ ""絵本（えほん）"", ""picture book"" ], [ ""油絵（あぶらえ）"", ""oil painting"" ], [ ""墨絵（すみえ）"", ""ink painting"" ], [ ""浮世絵（うきよえ）"", ""ukiyoe print"" ] ]","カイ, エ",,,"picture, drawing, painting, sketch",2.0,12.0,895.0,2.0,"糸, 幺, 小, 二, 个, 厶"
農,nou(gyou),"[ [ ""農民（のうみん）"", ""farmers"" ], [ ""農業（のうぎょう）"", ""agriculture"" ], [ ""農家（のうか）"", ""farm family"" ], [ ""農村（のうそん）"", ""farm village"" ], [ ""農場（のうじょう）"", ""farm [n.]"" ], [ ""農協（のうきょう）"", ""agricultural cooperative"" ], [ ""農作物（のうさくもつ）"", ""crops"" ], [ ""農産物（のうさんぶつ）"", ""agricultural produce"" ], [ ""酪農（らくのう）"", ""dairy"" ] ]",ノウ,,"な, の, み","agriculture, farmers",2.0,13.0,385.0,3.0,"｜, 衣, 一, 辰, 日, 厂"
読,yo(mu),"[ [ ""読者（どくしゃ）"", ""reader"" ], [ ""読書（どくしょ）"", ""reading"" ], [ ""読解力（どっかいりょく）"", ""reading ability"" ], [ ""読本（とくほん）"", ""a reading primer"" ], [ ""読点（とうてん）"", ""comma"" ], [ ""読む（よむ）"", ""read"" ], [ ""読売新聞（よみうりしんぶん）"", ""Yomiuri (newspaper)"" ], [ ""立ち読みする（たちよみする）"", ""browse in a bookstore"" ], [ ""読み方（よみかた）"", ""way of reading"" ], [ ""読み直す（よみなおす）"", ""read something over again"" ] ]","ドク, トク, トウ","よ.む, -よ.み",よみ,read,4.0,14.0,618.0,2.0,"言, 士, 儿, 冖"
描,byou-ega(ku),"[ [ ""点描（てんびょう）"", ""sketch (using stippling)"" ], [ ""素描（そびょう）"", ""rough sketch"" ], [ ""線描（せんびょう）"", ""line drawing"" ], [ ""描写する（びょうしゃする）"", ""depict, portray, describe"" ], [ ""描く（えがく）"", ""draw, sketch"" ] ]",ビョウ,"えが.く, か.く",,"sketch, compose, write, draw, paint",1.0,11.0,876.0,8.0,"田, 扎, 艾"
徒,to(ho),"[ [ ""生徒（せいと）"", ""student"" ], [ ""教徒（きょうと）"", ""believer (religion)"" ], [ ""信徒（しんと）"", ""believer (religion)"" ], [ ""使徒（しと）"", ""apostle"" ], [ ""暴徒（ぼうと）"", ""insurgent, rioter"" ], [ ""徒労（とろう）"", ""fruitless effort"" ], [ ""徒歩（とほ）"", ""travel by foot [n.]"" ], [ ""徒弟制度（とていせいど）"", ""apprentice system"" ] ]",ト,"いたずら, あだ",かち,"on foot, junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people",2.0,10.0,817.0,4.0,"走, 土, 彳"
城,jou-shiro,"[ [ ""城下町（じょうかまち）"", ""castle town"" ], [ ""城主（じょうしゅ）"", ""lord of a castle"" ], [ ""城壁（じょうへき）"", ""rampart"" ], [ ""城塞（じょうさい）"", ""fortress"" ], [ ""大阪城（おおさかじょう）"", ""Osaka castle"" ], [ ""築城する（ちくじょうする）"", ""construct a castle"" ], [ ""落城する（らくじょうする）"", ""surrender (a castle) [v.i.]"" ], [ ""城（しろ）"", ""castle"" ] ]","ジョウ, セイ",しろ,"いく, がき, き, くに, ぐしく, ぐすく, しき, すく, ぜい, たち, なり",castle,2.0,9.0,795.0,4.0,"ノ, 土, 戈"
激,geki(sen),"[ [ ""激戦（げきせん）"", ""fierce battle"" ], [ ""激痛（げきつう）"", ""severe pain"" ], [ ""急激な（きゅうげきな）"", ""sudden"" ], [ ""過激な（かげきな）"", ""extreme"" ], [ ""激化する（げきかする）"", ""intensify [v.i.]"" ], [ ""激増する（げきぞうする）"", ""increase dramatically"" ], [ ""激減する（げきげんする）"", ""decreasing dramatically"" ], [ ""激励する（げきれいする）"", ""encourage"" ], [ ""激突する（げきとつする）"", ""clash, crash [v.i]"" ], [ ""感激する（かんげきする）"", ""be deeply moved [v.i.]"" ], [ ""刺激する（しげきする）"", ""stimulate"" ], [ ""激しい（はげしい）"", ""intense, fierce, violent"" ] ]",ゲキ,はげ.しい,,"violent, get excited, enraged, chafe, incite",1.0,16.0,560.0,6.0,"汁, 白, 方, 攵, 乞"
異,koto(naru),"[ [ ""異質（いしつ）"", ""heterogeneous"" ], [ ""異国（いこく）"", ""foreign country"" ], [ ""異議（いぎ）"", ""objection"" ], [ ""異性（いせい）"", ""the opposite sex"" ], [ ""異色（いしょく）"", ""unique"" ], [ ""異文化（いぶんか）"", ""foreign culture"" ], [ ""異常な（いじょうな）"", ""abnormal"" ], [ ""異様な（いような）"", ""bizarre"" ], [ ""異なる（ことなる）"", ""differ"" ] ]",イ,"こと, こと.なる, け",,"uncommon, different, queerness, strangeness, wonderful, curious, unusual",2.0,11.0,631.0,6.0,"一, 田, ハ, 井"
総,sou(gousuru),"[ [ ""総長（そうちょう）"", ""(college) president"" ], [ ""総額（そうがく）"", ""sum total"" ], [ ""総論（そうろん）"", ""general remarks"" ], [ ""総会（そうかい）"", ""general meeting"" ], [ ""総選挙（そうせんきょ）"", ""general election"" ], [ ""総理大臣（そうりだいじん）"", ""Prime Minister"" ], [ ""総括する（そうかつする）"", ""recap, summarize"" ], [ ""総合する（そうごうする）"", ""put together, integrate"" ] ]",ソウ,"す.べて, すべ.て, ふさ","うさ, ずさ","general, whole, all, full, total",2.0,14.0,129.0,5.0,"糸, 幺, 小, 心, ハ, 厶"
注,chuu-soso(gu),"[ [ ""注射（ちゅうしゃ）"", ""injection"" ], [ ""注解（ちゅうかい）"", ""explanatory, notes, annotation"" ], [ ""脚注（きゃくちゅう）"", ""footnote"" ], [ ""注目する（ちゅうもくする）"", ""pay attention, watch [v.i.]"" ], [ ""注文する（ちゅうもんする）"", ""order, request [v.t.]"" ], [ ""注視する（ちゅうしする）"", ""gaze steadily at"" ], [ ""注意する（ちゅういする）"", ""be careful, beware [v.i.]"" ], [ ""発注する（はっちゅうする）"", ""place an order"" ], [ ""注ぐ（そそぐ）"", ""pour"" ] ]",チュウ,"そそ.ぐ, さ.す, つ.ぐ",,"pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate",3.0,8.0,497.0,3.0,"王, 汁, 丶"
改,arata(meru),"[ [ ""改革する（かいかくする）"", ""reform"" ], [ ""改良する（かいりょうする）"", ""improve"" ], [ ""改正する（かいせいする）"", ""revise (e.g. law)"" ], [ ""改築する（かいちくする）"", ""rebuild, reconstruct"" ], [ ""改善する（かいぜんする）"", ""improve"" ], [ ""改行する（かいぎょうする）"", ""start a new line or paragraph"" ], [ ""改札口（かいさつぐち）"", ""ticket gate"" ], [ ""改める（あらためる）"", ""revise, change [v.t.]"" ], [ ""改まる（あらたまる）"", ""become formal, be renewed [v.i.]"" ] ]",カイ,"あらた.める, あらた.まる",,"reformation, change, modify, mend, renew, examine, inspect, search",2.0,7.0,147.0,4.0,"已, 攵, 乞"
革,kaku-kawa,"[ [ ""革命（かくめい）"", ""revolution"" ], [ ""革新的な（かくしんてきな）"", ""revolutionary"" ], [ ""改革する（かいかくする）"", ""reform [v.t.]"" ], [ ""革（かわ）"", ""leather"" ], [ ""革靴（かわぐつ）"", ""leather shoes"" ], [ ""牛革（ぎゅうかわ）"", ""cowhide"" ] ]",カク,かわ,,"leather, skin, reform, become serious",2.0,9.0,249.0,6.0,"革, 廾, 口, 十"
任,nin-maka(su),"[ [ ""任期（にんき）"", ""term of appointment"" ], [ ""任務（にんむ）"", ""duty, task"" ], [ ""任意（にんい）"", ""optional, voluntary"" ], [ ""責任（せきにん）"", ""responsibility"" ], [ ""主任（しゅにん）"", ""chief, manager"" ], [ ""任命する（にんめいする）"", ""appoint"" ], [ ""就任する（しゅうにんする）"", ""be inaugurated, take office [v.i.]"" ], [ ""赴任する（ふにんする）"", ""transfer to a new post [v.i.]"" ], [ ""担任する（たんにんする）"", ""be in charge (class) [v.t.]"" ], [ ""辞任する（じにんする）"", ""resign"" ], [ ""任せる（まかせる）"", ""entrust to another [v.t.]"" ], [ ""任す（まかす）"", ""entrust [v.t.]"" ] ]",ニン,"まか.せる, まか.す","さ, とう, ひで","responsibility, duty, term, entrust to, appoint",2.0,6.0,217.0,5.0,"ノ, 王, 化, 士"
週,shuu(matsu),"[ [ ""今週（こんしゅう）"", ""this week"" ], [ ""先週（せんしゅう）"", ""last week"" ], [ ""来週（らいしゅう）"", ""next week"" ], [ ""週末（しゅうまつ）"", ""weekend"" ], [ ""一週間（いっしゅうかん）"", ""one week"" ] ]",シュウ,,,week,4.0,11.0,540.0,2.0,"口, 込, 土, 冂"
抗,(tei)kou,"[ [ ""抗争（こうそう）"", ""resistance"" ], [ ""不可抗力（ふかこうりょく）"", ""irresistible force"" ], [ ""抗議する（こうぎする）"", ""protest [v.i.]"" ], [ ""反抗する（はんこうする）"", ""resist, disobey [v.i.]"" ], [ ""対抗する（たいこうする）"", ""oppose [v.i.]"" ], [ ""抵抗する（ていこうする）"", ""resist, stand against [v.i.]"" ] ]",コウ,あらが.う,,"confront, resist, defy, oppose",1.0,7.0,666.0,8.0,"亠, 几, 扎"
身,mi(gara),"[ [ ""身体（しんたい）"", ""body"" ], [ ""身長（しんちょう）"", ""height (of body)"" ], [ ""身辺（しんぺん）"", ""one's affairs"" ], [ ""全身（ぜんしん）"", ""the whole body"" ], [ ""独身（どくしん）"", ""unmarried [n.]"" ], [ ""出身（しゅっしん）"", ""birth place, graduate [n.]"" ], [ ""自身（じしん）"", ""one's self [n.]"" ], [ ""変身する（へんしんする）"", ""transform, metamorphose [v.i.]"" ], [ ""身（み）"", ""body, meaty part"" ], [ ""身近な（みぢかな）"", ""familiar"" ], [ ""中身（なかみ）"", ""contents"" ], [ ""刺身（さしみ）"", ""sliced raw fish"" ] ]",シン,み,,"somebody, person, one's station in life",2.0,7.0,320.0,3.0,身
門,(nyuu)mon,"[ [ ""門（もん）"", ""gate"" ], [ ""正門（せいもん）"", ""main gate"" ], [ ""校門（こうもん）"", ""school gate"" ], [ ""専門（せんもん）"", ""speciality"" ], [ ""部門（ぶもん）"", ""category"" ], [ ""名門（めいもん）"", ""distinguished family"" ], [ ""入門する（にゅうもんする）"", ""enter an institute"" ], [ ""破門する（はもんする）"", ""expel"" ], [ ""門（かど）"", ""gate"" ], [ ""門出（かどで）"", ""departure, setting out"" ] ]",モン,"かど, と","じょう, も, と, ゆき","gate, counter for cannons",3.0,8.0,452.0,2.0,門
禁,kin(shisuru),"[ [ ""禁制（きんせい）"", ""prohibition, taboo"" ], [ ""禁句（きんく）"", ""taboo phrase"" ], [ ""禁欲的な（きんよくてきな）"", ""ascetic, abstemious"" ], [ ""禁止する（きんしする）"", ""prohibit, ban"" ], [ ""禁煙する（きんえんする）"", ""stop smoking"" ], [ ""禁酒する（きんしゅする）"", ""stop drinking"" ], [ ""厳禁する（げんきんする）"", ""strictly prohibit"" ], [ ""解禁する（かいきんする）"", ""lift a ban"" ] ]",キン,,,"prohibition, ban, forbid",2.0,13.0,681.0,5.0,"示, 二, 小, 木"
根,kon-ne,"[ [ ""根拠（こんきょ）"", ""basis"" ], [ ""根性（こんじょう）"", ""will-power, guts"" ], [ ""根気（こんき）"", ""patience"" ], [ ""根本的な（こんぽんてきな）"", ""fundamental"" ], [ ""大根（だいこん）"", ""Japanese white radish"" ], [ ""球根（きゅうこん）"", ""(plant) bulb"" ], [ ""根（ね）"", ""root"" ], [ ""根元（ねもと）"", ""root, base"" ], [ ""根回し（ねまわし）"", ""groundwork, preparatory work"" ], [ ""根強い（ねづよい）"", ""firmly rooted"" ], [ ""屋根（やね）"", ""roof"" ] ]",コン,"ね, -ね",,"root, radical, head (pimple)",2.0,10.0,620.0,3.0,"艮, 木"
提,tei-sa(geru),"[ [ ""前提（ぜんてい）"", ""premise"" ], [ ""提案する（ていあんする）"", ""propose"" ], [ ""提示する（ていじする）"", ""exhibit, suggest"" ], [ ""提出する（ていしゅつする）"", ""submit"" ], [ ""提供する（ていきょうする）"", ""offer [v.t.]"" ], [ ""提議する（ていぎする）"", ""propose a topic"" ], [ ""提携する（ていけいする）"", ""cooperate, align with"" ], [ ""提げる（さげる）"", ""hold in one's hand"" ], [ ""*提灯（ちょうちん）"", ""lantern"" ] ]","テイ, チョウ, ダイ",さ.げる,,"propose, take along, carry in hand",1.0,12.0,254.0,5.0,"日, 疋, 扎"
稲,ine,"[ [ ""水稲（すいとう）"", ""wet-land rice"" ], [ ""稲（いね）"", ""rice-plant"" ], [ ""稲刈り（いねかり）"", ""rice reaping"" ], [ ""稲作（いなさく）"", ""rice crop"" ], [ ""稲穂（いなほ）"", ""ear of rice"" ], [ ""稲荷（いなり）"", ""Inari shrine"" ], [ ""稲妻（いなづま）"", ""lightning"" ], [ ""稲光（いなびかり）"", ""lightning"" ], [ ""*早稲田（わせだ）"", ""Waseda (place name)"" ] ]","トウ, テ","いね, いな-","いの, しね, せ, な",rice plant,1.0,14.0,1038.0,8.0,"｜, 禾, 爪, 日"
耕,tagaya(su),"[ [ ""耕作（こうさく）"", ""farming"" ], [ ""耕地（こうち）"", ""arable land"" ], [ ""耕運機（こううんき）"", ""farm tractor"" ], [ ""農耕（のうこう）"", ""agriculture, farming"" ], [ ""耕す（たがやす）"", ""plow [v.t.]"" ] ]",コウ,たがや.す,こお,"till, plow, cultivate",2.0,10.0,1568.0,5.0,"｜, 土, ハ, 木, 亅, 耒, 井, ノ"
営,itona(mu),"[ [ ""営利（えいり）"", ""profit making, gain [n.]"" ], [ ""陣営（じんえい）"", ""camp [n.]"" ], [ ""都営（とえい）"", ""run by the city Tokyo"" ], [ ""市営（しえい）"", ""run by the city, municipal"" ], [ ""営業する（えいぎょうする）"", ""run a business"" ], [ ""経営する（けいえいする）"", ""manage"" ], [ ""運営する（うんえいする）"", ""administer"" ], [ ""営む（いとなむ）"", ""hold (ceremony), run (business)"" ] ]",エイ,"いとな.む, いとな.み",,"occupation, camp, perform, build, conduct (business)",2.0,12.0,303.0,5.0,"口, 尚, 冖, ノ"
展,ten(jisuru),"[ [ ""展覧会（てんらんかい）"", ""exhibition"" ], [ ""展望（てんぼう）"", ""view, outlook"" ], [ ""個展（こてん）"", ""one person exhibition"" ], [ ""展開する（てんかいする）"", ""develop"" ], [ ""展示する（てんじする）"", ""exhibit, display"" ], [ ""発展する（はってんする）"", ""develop, grow"" ], [ ""進展する（しんてんする）"", ""progress [v.i.]"" ] ]",テン,,"のぶ, のり, ひろ, ゆき","unfold, expand",2.0,10.0,352.0,6.0,"｜, 衣, 一, 二, 尸"
回,kai-mawa(ru),"[ [ ""回数券（かいすうけん）"", ""book of tickets"" ], [ ""何回（なんかい）"", ""how many times"" ], [ ""三回（さんかい）"", ""3 times"" ], [ ""今回（こんかい）"", ""this time"" ], [ ""最終回（さいしゅうかい）"", ""last part"" ], [ ""回転する（かいてんする）"", ""rotate"" ], [ ""回向（えこう）"", ""Buddhist memorial service"" ], [ ""回る（まわる）"", ""turn round [v.i.]"" ], [ ""回す（まわす）"", ""turn round [v.t.]"" ] ]","カイ, エ","まわ.る, -まわ.る, -まわ.り, まわ.す, -まわ.す, まわ.し-, -まわ.し, もとお.る, か.える",,"-times, round, game, revolve, counter for occurrences",3.0,6.0,50.0,2.0,"口, 囗"
疑,utaga(u),"[ [ ""疑問（ぎもん）"", ""question, doubt [n.]"" ], [ ""疑問詞（ぎもんし）"", ""interrogative word"" ], [ ""疑惑（ぎわく）"", ""suspicion"" ], [ ""容疑者（ようぎしゃ）"", ""suspect [n.]"" ], [ ""半信半疑（はんしんはんぎ）"", ""half in doubt"" ], [ ""質疑応答（しつぎおうとう）"", ""question and answer session"" ], [ ""疑う（うたがう）"", ""doubt, suspect [v.t.]"" ], [ ""疑わしい（うたがわしい）"", ""questionable, suspicious"" ] ]",ギ,うたが.う,,"doubt, distrust, be suspicious, question",2.0,14.0,283.0,6.0,"疋, 矢, 匕, マ, 乞"
漁,gyo(gyou),"[ [ ""漁村（ぎょそん）"", ""fishing village"" ], [ ""漁業（ぎょぎょう）"", ""fishing"" ], [ ""漁船（ぎょせん）"", ""fishing boat"" ], [ ""漁（りょう）"", ""fishing catch"" ], [ ""漁師（りょうし）"", ""fisherman"" ], [ ""出漁する（しゅつりょうする）"", ""go fishing"" ] ]","ギョ, リョウ",あさ.る,,"fishing, fishery",2.0,14.0,1094.0,4.0,"魚, 汁, 田, 杰"
突,totsu-tsu(ku),"[ [ ""突然（とつぜん）"", ""suddenly"" ], [ ""煙突（えんとつ）"", ""chimney"" ], [ ""突撃する（とつげきする）"", ""charge, rush at"" ], [ ""突入する（とつにゅうする）"", ""rush into"" ], [ ""突進する（とっしんする）"", ""rush, charge"" ], [ ""突破する（とっぱする）"", ""break through"" ], [ ""衝突する（しょうとつする）"", ""collide"" ], [ ""追突する（ついとつする）"", ""collide (from behind)"" ], [ ""突飛な（とっぴな）"", ""wild, extraordinary"" ], [ ""突く（つく）"", ""poke, nudge"" ] ]","トツ, カ",つ.く,,"stab, protruding, thrust, pierce, prick, collision, sudden",2.0,8.0,521.0,8.0,"穴, 大, 儿, 宀"
批,hi(han),"[ [ ""批評家（ひひょうか）"", ""critic"" ], [ ""批判する（ひはんする）"", ""criticize"" ], [ ""批評する（ひひょうする）"", ""review (a book, etc.)"" ], [ ""批難する（ひなんする）"", ""blame [v.t.]"" ], [ ""批判的な（ひはんてきな）"", ""critical"" ] ]",ヒ,,,"criticism, strike",2.0,7.0,568.0,6.0,"比, 扎"
端,tan-hashi,"[ [ ""端子（たんし）"", ""terminal"" ], [ ""端的な（たんてきな）"", ""frank"" ], [ ""先端（せんたん）"", ""pointed end"" ], [ ""発端（ほったん）"", ""the beginning"" ], [ ""末端（まったん）"", ""tip, extremity"" ], [ ""途端に（とたんに）"", ""just as, just when"" ], [ ""極端な（きょくたんな）"", ""extreme"" ], [ ""端（はし）"", ""edge"" ], [ ""両端（りょうはし）"", ""both ends"" ], [ ""右端（みぎはし）"", ""right end"" ], [ ""端数（はすう）"", ""fraction"" ], [ ""道端（みちばた）"", ""roadside"" ] ]",タン,"はし, は, はた, -ばた, はな","ただし, みず","edge, origin, end, point, border, verge, cape",1.0,14.0,960.0,8.0,"山, 而, 立"
列,retsu,"[ [ ""列（れつ）"", ""line"" ], [ ""列車（れっしゃ）"", ""train"" ], [ ""列島（れっとう）"", ""chain of islands"" ], [ ""行列（ぎょうれつ）"", ""line, procession, matrix"" ], [ ""前列（ぜんれつ）"", ""front row"" ], [ ""後列（こうれつ）"", ""back row"" ], [ ""系列（けいれつ）"", ""a group of businesses"" ], [ ""列挙する（れっきょする）"", ""enumerate, list"" ], [ ""整列する（せいれつする）"", ""stand in a row [v.i.]"" ] ]","レツ, レ",,れっ,"file, row, rank, tier, column",2.0,6.0,927.0,3.0,"刈, 歹"
即,soku(bai),"[ [ ""即刻（そっこく）"", ""instantly"" ], [ ""即興（そっきょう）"", ""improvised, impromptu"" ], [ ""即効性（そっこうせい）"", ""immediate effect"" ], [ ""即座に（そくざに）"", ""right away"" ], [ ""即死する（そくしする）"", ""die instantly"" ], [ ""即答する（そくとうする）"", ""reply immediately"" ], [ ""即する（そくする）"", ""conform to"" ], [ ""即ち（すなわち）"", ""namely"" ] ]",ソク,"つ.く, つ.ける, すなわ.ち",,"instant, namely, as is, conform, agree, adapt",1.0,7.0,1167.0,8.0,"艮, 卩"
